ID_Venta,Fecha,Producto,Categoria_producto,Precio,Cantidad_vendida,Region,,,
1,15/01/2024,"Televisor 42""",Electrónica,400,2,Norteamérica,,,
2,16/01/2024,Smartphone,Electrónica,700,5,Europa,,,
3,17/01/2024,Refrigerador,Electrodoméstico,1200,1,Sudamérica,,,
4,18/01/2024,Laptop,Electrónica,950,3,Asia,,,
5,19/01/2024,Lavadora,Electrodoméstico,NaN,1,Norteamérica,,,
6,20/01/2024,"Televisor 55""",Electrónica,650,4,Europa,,,
7,21/01/2024,Aspiradora,Electrodoméstico,150,10,Sudamérica,,,
8,22/01/2024,Smartphone,Electrónica,650,6,Norteamérica,,,
9,23/01/2024,Laptop,Electrónica,1000,2,Asia,,,
10,24/01/2024,Microondas,Electrodoméstico,120,8,Europa,,,
11,25/01/2024,"Televisor 42""",Electrónica,-450,2,Sudamérica,,,
12,26/01/2024,Lavadora,Electrodoméstico,NaN,3,Asia,,,
13,27/01/2024,Smartphone,Electrónica,750,7,Norteamérica,,,
14,28/01/2024,Laptop,Electrónica,850,1,Europa,,,
15,29/01/2024,Refrigerador,Electrodoméstico,1100,1,Sudamérica,,,
16,30/01/2024,Microondas,Electrodoméstico,100,9,Asia,,,
17,31/01/2024,"Televisor 32""",Electrónica,300,5,Norteamérica,,,
18,01/02/2024,Tablet,Electrónica,400,4,Europa,,,
19,02/02/2024,Lavadora,Electrodoméstico,750,2,Asia,,,
20,03/02/2024,Refrigerador,Electrodoméstico,NaN,1,Norteamérica,,,
21,04/02/2024,Smartphone,Electrónica,680,6,Sudamérica,,,
22,05/02/2024,Laptop,Electrónica,1050,2,Europa,,,
23,06/02/2024,Aspiradora,Electrodoméstico,160,8,Norteamérica,,,
24,07/02/2024,"Televisor 55""",Electrónica,700,3,Asia,,,
25,08/02/2024,Tablet,Electrónica,420,5,Sudamérica,,,
26,09/02/2024,Smartphone,Electrónica,780,7,Europa,,,
27,10/02/2024,Microondas,Electrodoméstico,NaN,9,Asia,,,
28,11/02/2024,"Televisor 42""",Electrónica,500,3,Norteamérica,,,
29,12/02/2024,Refrigerador,Electrodoméstico,1250,1,Europa,,,
